"","Trial_num","variable","value"
"1",1,"RAMP",0
"2",2,"RAMP",0
"3",3,"RAMP",0
"4",4,"RAMP",0
"5",5,"RAMP",0
"6",6,"RAMP",0
"7",7,"RAMP",0
"8",8,"RAMP",0
"9",9,"RAMP",0
"10",10,"RAMP",0
"11",11,"RAMP",0
"12",12,"RAMP",0
"13",13,"RAMP",0
"14",14,"RAMP",0
"15",15,"RAMP",0
"16",16,"RAMP",0
"17",17,"RAMP",0
"18",18,"RAMP",0
"19",19,"RAMP",0
"20",20,"RAMP",0
"21",21,"RAMP",0
"22",22,"RAMP",0
"23",23,"RAMP",0
"24",24,"RAMP",0
"25",25,"RAMP",0
"26",26,"RAMP",25
"27",27,"RAMP",25.75
"28",28,"RAMP",26.5
"29",29,"RAMP",27.25
"30",30,"RAMP",28
"31",31,"RAMP",28.75
"32",32,"RAMP",29.5
"33",33,"RAMP",30.25
"34",34,"RAMP",31
"35",35,"RAMP",31.75
"36",36,"RAMP",32.5
"37",37,"RAMP",33.25
"38",38,"RAMP",34
"39",39,"RAMP",34.75
"40",40,"RAMP",35.5
"41",41,"RAMP",36.25
"42",42,"RAMP",37
"43",43,"RAMP",37.75
"44",44,"RAMP",38.5
"45",45,"RAMP",39.25
"46",46,"RAMP",40
"47",47,"RAMP",40.75
"48",48,"RAMP",41.5
"49",49,"RAMP",42.25
"50",50,"RAMP",43
"51",51,"RAMP",43.75
"52",52,"RAMP",44.5
"53",53,"RAMP",45.25
"54",54,"RAMP",46
"55",55,"RAMP",46.75
"56",56,"RAMP",47.5
"57",57,"RAMP",48.25
"58",58,"RAMP",49
"59",59,"RAMP",49.75
"60",60,"RAMP",50.5
"61",61,"RAMP",51.25
"62",62,"RAMP",52
"63",63,"RAMP",52.75
"64",64,"RAMP",53.5
"65",65,"RAMP",54.25
"66",66,"RAMP",55
"67",67,"RAMP",55.75
"68",68,"RAMP",56.5
"69",69,"RAMP",57.25
"70",70,"RAMP",58
"71",71,"RAMP",58.75
"72",72,"RAMP",59.5
"73",73,"RAMP",60.25
"74",74,"RAMP",61
"75",75,"RAMP",61.75
"76",76,"RAMP",62.5
"77",77,"RAMP",63.25
"78",78,"RAMP",64
"79",79,"RAMP",64.75
"80",80,"RAMP",65.5
"81",81,"RAMP",66.25
"82",82,"RAMP",67
"83",83,"RAMP",67.75
"84",84,"RAMP",68.5
"85",85,"RAMP",69.25
"86",86,"RAMP",70
"87",87,"RAMP",70.75
"88",88,"RAMP",71.5
"89",89,"RAMP",72.25
"90",90,"RAMP",73
"91",91,"RAMP",73.75
"92",92,"RAMP",74.5
"93",93,"RAMP",75.25
"94",94,"RAMP",76
"95",95,"RAMP",76.75
"96",96,"RAMP",77.5
"97",97,"RAMP",78.25
"98",98,"RAMP",79
"99",99,"RAMP",79.75
"100",100,"RAMP",80.5
"101",101,"RAMP",81.25
"102",102,"RAMP",82
"103",103,"RAMP",82.75
"104",104,"RAMP",83.5
"105",105,"RAMP",84.25
"106",106,"RAMP",85
"107",107,"RAMP",85.75
"108",108,"RAMP",86.5
"109",109,"RAMP",87.25
"110",110,"RAMP",88
"111",111,"RAMP",88.75
"112",112,"RAMP",89.5
"113",113,"RAMP",90.25
"114",114,"RAMP",91
"115",115,"RAMP",91.75
"116",116,"RAMP",92.5
"117",117,"RAMP",93.25
"118",118,"RAMP",94
"119",119,"RAMP",94.75
"120",120,"RAMP",95.5
"121",121,"RAMP",96.25
"122",122,"RAMP",97
"123",123,"RAMP",97.75
"124",124,"RAMP",98.5
"125",125,"RAMP",99.25
"126",126,"RAMP",100
"127",127,"RAMP",100
"128",128,"RAMP",100
"129",129,"RAMP",100
"130",130,"RAMP",100
"131",131,"RAMP",100
"132",132,"RAMP",100
"133",133,"RAMP",100
"134",134,"RAMP",100
"135",135,"RAMP",100
"136",136,"RAMP",100
"137",137,"RAMP",100
"138",138,"RAMP",100
"139",139,"RAMP",100
"140",140,"RAMP",100
"141",141,"RAMP",100
"142",142,"RAMP",100
"143",143,"RAMP",100
"144",144,"RAMP",100
"145",145,"RAMP",100
"146",146,"RAMP",100
"147",147,"RAMP",100
"148",148,"RAMP",100
"149",149,"RAMP",100
"150",150,"RAMP",100
"151",151,"RAMP",100
"152",152,"RAMP",100
"153",153,"RAMP",100
"154",154,"RAMP",100
"155",155,"RAMP",100
"156",156,"RAMP",100
"157",157,"RAMP",100
"158",158,"RAMP",100
"159",159,"RAMP",100
"160",160,"RAMP",100
"161",161,"RAMP",100
"162",162,"RAMP",100
"163",163,"RAMP",100
"164",164,"RAMP",100
"165",165,"RAMP",100
"166",166,"RAMP",100
"167",167,"RAMP",100
"168",168,"RAMP",100
"169",169,"RAMP",100
"170",170,"RAMP",100
"171",171,"RAMP",100
"172",172,"RAMP",100
"173",173,"RAMP",100
"174",174,"RAMP",100
"175",175,"RAMP",100
"176",176,"RAMP",0
"177",177,"RAMP",0
"178",178,"RAMP",0
"179",179,"RAMP",0
"180",180,"RAMP",0
"181",181,"RAMP",0
"182",182,"RAMP",0
"183",183,"RAMP",0
"184",184,"RAMP",0
"185",185,"RAMP",0
"186",186,"RAMP",0
"187",187,"RAMP",0
"188",188,"RAMP",0
"189",189,"RAMP",0
"190",190,"RAMP",0
"191",191,"RAMP",0
"192",192,"RAMP",0
"193",193,"RAMP",0
"194",194,"RAMP",0
"195",195,"RAMP",0
"196",196,"RAMP",0
"197",197,"RAMP",0
"198",198,"RAMP",0
"199",199,"RAMP",0
"200",200,"RAMP",0
"201",NA,"RAMP",NA
"202",NA,"RAMP",NA
"203",1,"HOLD",0
"204",2,"HOLD",0
"205",3,"HOLD",0
"206",4,"HOLD",0
"207",5,"HOLD",0
"208",6,"HOLD",0
"209",7,"HOLD",0
"210",8,"HOLD",0
"211",9,"HOLD",0
"212",10,"HOLD",0
"213",11,"HOLD",0
"214",12,"HOLD",0
"215",13,"HOLD",0
"216",14,"HOLD",0
"217",15,"HOLD",0
"218",16,"HOLD",0
"219",17,"HOLD",0
"220",18,"HOLD",0
"221",19,"HOLD",0
"222",20,"HOLD",0
"223",21,"HOLD",0
"224",22,"HOLD",0
"225",23,"HOLD",0
"226",24,"HOLD",0
"227",25,"HOLD",0
"228",26,"HOLD",100
"229",27,"HOLD",100
"230",28,"HOLD",100
"231",29,"HOLD",100
"232",30,"HOLD",100
"233",31,"HOLD",100
"234",32,"HOLD",100
"235",33,"HOLD",100
"236",34,"HOLD",100
"237",35,"HOLD",100
"238",36,"HOLD",100
"239",37,"HOLD",100
"240",38,"HOLD",100
"241",39,"HOLD",100
"242",40,"HOLD",100
"243",41,"HOLD",100
"244",42,"HOLD",100
"245",43,"HOLD",100
"246",44,"HOLD",100
"247",45,"HOLD",100
"248",46,"HOLD",100
"249",47,"HOLD",100
"250",48,"HOLD",100
"251",49,"HOLD",100
"252",50,"HOLD",100
"253",51,"HOLD",100
"254",52,"HOLD",100
"255",53,"HOLD",100
"256",54,"HOLD",100
"257",55,"HOLD",100
"258",56,"HOLD",100
"259",57,"HOLD",100
"260",58,"HOLD",100
"261",59,"HOLD",100
"262",60,"HOLD",100
"263",61,"HOLD",100
"264",62,"HOLD",100
"265",63,"HOLD",100
"266",64,"HOLD",100
"267",65,"HOLD",100
"268",66,"HOLD",100
"269",67,"HOLD",100
"270",68,"HOLD",100
"271",69,"HOLD",100
"272",70,"HOLD",100
"273",71,"HOLD",100
"274",72,"HOLD",100
"275",73,"HOLD",100
"276",74,"HOLD",100
"277",75,"HOLD",100
"278",76,"HOLD",100
"279",77,"HOLD",100
"280",78,"HOLD",100
"281",79,"HOLD",100
"282",80,"HOLD",100
"283",81,"HOLD",100
"284",82,"HOLD",100
"285",83,"HOLD",100
"286",84,"HOLD",100
"287",85,"HOLD",100
"288",86,"HOLD",100
"289",87,"HOLD",100
"290",88,"HOLD",100
"291",89,"HOLD",100
"292",90,"HOLD",100
"293",91,"HOLD",100
"294",92,"HOLD",100
"295",93,"HOLD",100
"296",94,"HOLD",100
"297",95,"HOLD",100
"298",96,"HOLD",100
"299",97,"HOLD",100
"300",98,"HOLD",100
"301",99,"HOLD",100
"302",100,"HOLD",100
"303",101,"HOLD",100
"304",102,"HOLD",100
"305",103,"HOLD",100
"306",104,"HOLD",100
"307",105,"HOLD",100
"308",106,"HOLD",100
"309",107,"HOLD",100
"310",108,"HOLD",100
"311",109,"HOLD",100
"312",110,"HOLD",100
"313",111,"HOLD",100
"314",112,"HOLD",100
"315",113,"HOLD",100
"316",114,"HOLD",100
"317",115,"HOLD",100
"318",116,"HOLD",100
"319",117,"HOLD",100
